"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","CPI","ENRG","AGRWTH","M","2021-08",18.24768,
"OECD","CPI","ENRG","AGRWTH","M","2021-09",19.04604,
"OECD","CPI","ENRG","AGRWTH","M","2021-10",24.1908,
"OECD","CPI","ENRG","AGRWTH","M","2021-11",27.65171,
"OECD","CPI","ENRG","AGRWTH","M","2021-12",25.64459,
"OECD","CPI","ENRG","AGRWTH","M","2022-01",26.24947,
"OECD","CPI","ENRG","AGRWTH","M","2022-02",26.62269,
"OECD","CPI","ENRG","AGRWTH","M","2022-03",33.65916,
"OECD","CPI","ENRG","AGRWTH","M","2022-04",32.9024,
"OECD","CPI","ENRG","AGRWTH","M","2022-05",35.4111,
"OECD","CPI","ENRG","AGRWTH","M","2022-06",40.69514,
"OECD","CPI","ENRG","AGRWTH","M","2022-07",35.27113,
"OECD","CPI","FOOD","AGRWTH","M","2021-08",3.526434,
"OECD","CPI","FOOD","AGRWTH","M","2021-09",4.477777,
"OECD","CPI","FOOD","AGRWTH","M","2021-10",4.558102,
"OECD","CPI","FOOD","AGRWTH","M","2021-11",5.511189,
"OECD","CPI","FOOD","AGRWTH","M","2021-12",6.733311,
"OECD","CPI","FOOD","AGRWTH","M","2022-01",7.615391,
"OECD","CPI","FOOD","AGRWTH","M","2022-02",8.738302,
"OECD","CPI","FOOD","AGRWTH","M","2022-03",9.986595,
"OECD","CPI","FOOD","AGRWTH","M","2022-04",11.52989,
"OECD","CPI","FOOD","AGRWTH","M","2022-05",12.61546,
"OECD","CPI","FOOD","AGRWTH","M","2022-06",13.32478,
"OECD","CPI","FOOD","AGRWTH","M","2022-07",14.49459,
"OECD","CPI","TOT","AGRWTH","M","2021-08",4.347433,
"OECD","CPI","TOT","AGRWTH","M","2021-09",4.592107,
"OECD","CPI","TOT","AGRWTH","M","2021-10",5.23075,
"OECD","CPI","TOT","AGRWTH","M","2021-11",5.860738,
"OECD","CPI","TOT","AGRWTH","M","2021-12",6.553557,
"OECD","CPI","TOT","AGRWTH","M","2022-01",7.177484,
"OECD","CPI","TOT","AGRWTH","M","2022-02",7.755183,
"OECD","CPI","TOT","AGRWTH","M","2022-03",8.766783,
"OECD","CPI","TOT","AGRWTH","M","2022-04",9.188184,
"OECD","CPI","TOT","AGRWTH","M","2022-05",9.657443,
"OECD","CPI","TOT","AGRWTH","M","2022-06",10.26673,
"OECD","CPI","TOT","AGRWTH","M","2022-07",10.23169,
"OECD","CPI","TOT_FOODENRG","AGRWTH","M","2021-08",3.117949,
"OECD","CPI","TOT_FOODENRG","AGRWTH","M","2021-09",3.20412,
"OECD","CPI","TOT_FOODENRG","AGRWTH","M","2021-10",3.556103,
"OECD","CPI","TOT_FOODENRG","AGRWTH","M","2021-11",3.868088,
"OECD","CPI","TOT_FOODENRG","AGRWTH","M","2021-12",4.634305,
"OECD","CPI","TOT_FOODENRG","AGRWTH","M","2022-01",5.142756,
"OECD","CPI","TOT_FOODENRG","AGRWTH","M","2022-02",5.595124,
"OECD","CPI","TOT_FOODENRG","AGRWTH","M","2022-03",5.898394,
"OECD","CPI","TOT_FOODENRG","AGRWTH","M","2022-04",6.257946,
"OECD","CPI","TOT_FOODENRG","AGRWTH","M","2022-05",6.437493,
"OECD","CPI","TOT_FOODENRG","AGRWTH","M","2022-06",6.512594,
"OECD","CPI","TOT_FOODENRG","AGRWTH","M","2022-07",6.812151,
